section,name,url
rnrs conditions,&lexical,rnrs-conditions.html#index-_0026lexical
rnrs conditions,&message,rnrs-conditions.html#index-_0026message
rnrs arithmetic flonums,&no-infinities,rnrs-arithmetic-flonums.html#index-_0026no_002dinfinities
rnrs arithmetic flonums,&no-nans,rnrs-arithmetic-flonums.html#index-_0026no_002dnans
rnrs conditions,&non-continuable,rnrs-conditions.html#index-_0026non_002dcontinuable
rnrs conditions,&serious,rnrs-conditions.html#index-_0026serious
rnrs conditions,&syntax,rnrs-conditions.html#index-_0026syntax
rnrs conditions,&undefined,rnrs-conditions.html#index-_0026undefined
rnrs conditions,&violation,rnrs-conditions.html#index-_0026violation
rnrs conditions,&warning,rnrs-conditions.html#index-_0026warning
rnrs conditions,&who,rnrs-conditions.html#index-_0026who
Expression Syntax,',Expression-Syntax.html#index-_0027
GOOPS,(oop goops),GOOPS.html#index-_0028oop-goops_0029
Arithmetic,*,Arithmetic.html#index-_002a
rnrs base,*,rnrs-base.html#index-_002a-1
Conversion to/from C,*scm_to_latin1_stringn,Conversion-to_002ffrom-C.html#index-_002ascm_005fto_005flatin1_005fstringn
Conversion to/from C,*scm_to_stringn,Conversion-to_002ffrom-C.html#index-_002ascm_005fto_005fstringn
Conversion to/from C,*scm_to_utf32_stringn,Conversion-to_002ffrom-C.html#index-_002ascm_005fto_005futf32_005fstringn
Conversion to/from C,*scm_to_utf8_stringn,Conversion-to_002ffrom-C.html#index-_002ascm_005fto_005futf8_005fstringn
Arithmetic,+,Arithmetic.html#index-_002b
rnrs base,+,rnrs-base.html#index-_002b-1
Expression Syntax,",",Expression-Syntax.html#index-_002c
Expression Syntax,",@",Expression-Syntax.html#index-_002c_0040
Arithmetic,-,Arithmetic.html#index-_002d
rnrs base,-,rnrs-base.html#index-_002d-1
Creating Character Sets,->char-set,Creating-Character-Sets.html#index-_002d_003echar_002dset
Arithmetic,/,Arithmetic.html#index-_002f
rnrs base,/,rnrs-base.html#index-_002f-1
Arithmetic,1+,Arithmetic.html#index-1_002b
Arithmetic,1+,Arithmetic.html#index-1_002b-1
Arithmetic,1-,Arithmetic.html#index-1_002d
Arithmetic,1-,Arithmetic.html#index-1_002d-1
Comparison,<,Comparison.html#index-_003c
rnrs base,<,rnrs-base.html#index-_003c-1
Comparison,<=,Comparison.html#index-_003c_003d
rnrs base,<=,rnrs-base.html#index-_003c_003d-1
Comparison,=,Comparison.html#index-_003d
rnrs base,=,rnrs-base.html#index-_003d-1
Equality,==,Equality.html#index-_003d_003d
Comparison,>,Comparison.html#index-_003e
rnrs base,>,rnrs-base.html#index-_003e-1
Comparison,>=,Comparison.html#index-_003e_003d
rnrs base,>=,rnrs-base.html#index-_003e_003d-1
Using Guile Modules,@,Using-Guile-Modules.html#index-_0040
Using Guile Modules,@,Using-Guile-Modules.html#index-_0040-1
Expression Syntax,`,Expression-Syntax.html#index-_0060
SRFI-18 Exceptions,abandoned-mutex-exception?,SRFI_002d18-Exceptions.html#index-abandoned_002dmutex_002dexception_003f
Shift and Reset,abort,Shift-and-Reset.html#index-abort
Dynamic Environment Instructions,abort,Dynamic-Environment-Instructions.html#index-abort-1
Prompt Primitives,abort-to-prompt,Prompt-Primitives.html#index-abort_002dto_002dprompt
Arithmetic,abs,Arithmetic.html#index-abs
rnrs base,abs,rnrs-base.html#index-abs-1
File System,absolute-file-name?,File-System.html#index-absolute_002dfile_002dname_003f
Network Sockets and Communication,accept,Network-Sockets-and-Communication.html#index-accept
File System,access?,File-System.html#index-access_003f
Adding or Setting Alist Entries,acons,Adding-or-Setting-Alist-Entries.html#index-acons
Scientific,acos,Scientific.html#index-acos
rnrs base,acos,rnrs-base.html#index-acos-1
Scientific,acosh,Scientific.html#index-acosh
Readline Functions,activate-readline,Readline-Functions.html#index-activate_002dreadline
Responses,adapt-response-version,Responses.html#index-adapt_002dresponse_002dversion
Inlined Mathematical Instructions,add,Inlined-Mathematical-Instructions.html#index-add
SRFI-19 Time,add-duration,SRFI_002d19-Time.html#index-add_002dduration
SRFI-19 Time,add-duration!,SRFI_002d19-Time.html#index-add_002dduration_0021
High-Level Traps,add-ephemeral-stepping-trap!,High_002dLevel-Traps.html#index-add_002dephemeral_002dstepping_002dtrap_0021
High-Level Traps,add-ephemeral-trap-at-frame-finish!,High_002dLevel-Traps.html#index-add_002dephemeral_002dtrap_002dat_002dframe_002dfinish_0021
Hook Reference,add-hook!,Hook-Reference.html#index-add_002dhook_0021
Method Definition Internals,add-method!,Method-Definition-Internals.html#index-add_002dmethod_0021
Method Definition Internals,add-method!,Method-Definition-Internals.html#index-add_002dmethod_0021-1
Method Definition Internals,add-method!,Method-Definition-Internals.html#index-add_002dmethod_0021-2
Method Definition Internals,add-method!,Method-Definition-Internals.html#index-add_002dmethod_0021-3
Method Definition Internals,add-method!,Method-Definition-Internals.html#index-add_002dmethod_0021-4
texinfo html,add-ref-resolver!,texinfo-html.html#index-add_002dref_002dresolver_0021
Load Paths,add-to-load-path,Load-Paths.html#index-add_002dto_002dload_002dpath
High-Level Traps,add-trace-at-procedure-call!,High_002dLevel-Traps.html#index-add_002dtrace_002dat_002dprocedure_002dcall_0021
Trap States,add-trap!,Trap-States.html#index-add_002dtrap_0021
High-Level Traps,add-trap-at-procedure-call!,High_002dLevel-Traps.html#index-add_002dtrap_002dat_002dprocedure_002dcall_0021
High-Level Traps,add-trap-at-source-location!,High_002dLevel-Traps.html#index-add_002dtrap_002dat_002dsource_002dlocation_0021
Inlined Mathematical Instructions,add1,Inlined-Mathematical-Instructions.html#index-add1
Network Databases,addrinfo:addr,Network-Databases.html#index-addrinfo_003aaddr
Network Databases,addrinfo:canonname,Network-Databases.html#index-addrinfo_003acanonname
Network Databases,addrinfo:fam,Network-Databases.html#index-addrinfo_003afam
Network Databases,addrinfo:flags,Network-Databases.html#index-addrinfo_003aflags
Network Databases,addrinfo:protocol,Network-Databases.html#index-addrinfo_003aprotocol
Network Databases,addrinfo:socktype,Network-Databases.html#index-addrinfo_003asocktype
Signals,alarm,Signals.html#index-alarm
Foreign Structs,alignof,Foreign-Structs.html#index-alignof
Hash Table Reference,alist->hash-table,Hash-Table-Reference.html#index-alist_002d_003ehash_002dtable
SRFI-69 Creating hash tables,alist->hash-table,SRFI_002d69-Creating-hash-tables.html#index-alist_002d_003ehash_002dtable-1
Hash Table Reference,alist->hashq-table,Hash-Table-Reference.html#index-alist_002d_003ehashq_002dtable
Hash Table Reference,alist->hashv-table,Hash-Table-Reference.html#index-alist_002d_003ehashv_002dtable
Hash Table Reference,alist->hashx-table,Hash-Table-Reference.html#index-alist_002d_003ehashx_002dtable
VHashes,alist->vhash,VHashes.html#index-alist_002d_003evhash
SRFI-1 Association Lists,alist-cons,SRFI_002d1-Association-Lists.html#index-alist_002dcons
SRFI-1 Association Lists,alist-copy,SRFI_002d1-Association-Lists.html#index-alist_002dcopy
SRFI-1 Association Lists,alist-delete,SRFI_002d1-Association-Lists.html#index-alist_002ddelete
SRFI-1 Association Lists,alist-delete!,SRFI_002d1-Association-Lists.html#index-alist_002ddelete_0021
Threads,all-threads,Threads.html#index-all_002dthreads
and or,and,and-or.html#index-and
rnrs base,and,rnrs-base.html#index-and-1
SRFI-2,and-let*,SRFI_002d2.html#index-and_002dlet_002a
Higher-Order Functions,and=>,Higher_002dOrder-Functions.html#index-and_003d_003e
Complex,angle,Complex.html#index-angle
rnrs base,angle,rnrs-base.html#index-angle-1
SRFI-1 Searching,any,SRFI_002d1-Searching.html#index-any
SRFI-4 Extensions,any->c32vector,SRFI_002d4-Extensions.html#index-any_002d_003ec32vector
SRFI-4 Extensions,any->c64vector,SRFI_002d4-Extensions.html#index-any_002d_003ec64vector
SRFI-4 Extensions,any->f32vector,SRFI_002d4-Extensions.html#index-any_002d_003ef32vector
SRFI-4 Extensions,any->f64vector,SRFI_002d4-Extensions.html#index-any_002d_003ef64vector
SRFI-4 Extensions,any->s16vector,SRFI_002d4-Extensions.html#index-any_002d_003es16vector
SRFI-4 Extensions,any->s32vector,SRFI_002d4-Extensions.html#index-any_002d_003es32vector
SRFI-4 Extensions,any->s64vector,SRFI_002d4-Extensions.html#index-any_002d_003es64vector
SRFI-4 Extensions,any->s8vector,SRFI_002d4-Extensions.html#index-any_002d_003es8vector
SRFI-4 Extensions,any->u16vector,SRFI_002d4-Extensions.html#index-any_002d_003eu16vector
SRFI-4 Extensions,any->u32vector,SRFI_002d4-Extensions.html#index-any_002d_003eu32vector
SRFI-4 Extensions,any->u64vector,SRFI_002d4-Extensions.html#index-any_002d_003eu64vector
SRFI-4 Extensions,any->u8vector,SRFI_002d4-Extensions.html#index-any_002d_003eu8vector
SRFI-60,any-bits-set?,SRFI_002d60.html#index-any_002dbits_002dset_003f
Append/Reverse,append,Append_002fReverse.html#index-append
Append/Reverse,append,Append_002fReverse.html#index-append-1
rnrs base,append,rnrs-base.html#index-append-2
rnrs base,append,rnrs-base.html#index-append-3
Append/Reverse,append!,Append_002fReverse.html#index-append_0021
Append/Reverse,append!,Append_002fReverse.html#index-append_0021-1
SRFI-1 Fold and Map,append-map,SRFI_002d1-Fold-and-Map.html#index-append_002dmap
SRFI-1 Fold and Map,append-map!,SRFI_002d1-Fold-and-Map.html#index-append_002dmap_0021
SRFI-1 Length Append etc,append-reverse,SRFI_002d1-Length-Append-etc.html#index-append_002dreverse
SRFI-1 Length Append etc,append-reverse!,SRFI_002d1-Length-Append-etc.html#index-append_002dreverse_0021
Fly Evaluation,apply,Fly-Evaluation.html#index-apply
rnrs base,apply,rnrs-base.html#index-apply-1
Procedure Call and Return Instructions,apply,Procedure-Call-and-Return-Instructions.html#index-apply-2
sxml apply-templates,apply-templates,sxml-apply_002dtemplates.html#index-apply_002dtemplates
Fly Evaluation,apply:nconc2last,Fly-Evaluation.html#index-apply_003anconc2last
Help Commands,apropos,Help-Commands.html#index-apropos
Readline Functions,apropos-completion-function,Readline-Functions.html#index-apropos_002dcompletion_002dfunction
SRFI-37,args-fold,SRFI_002d37.html#index-args_002dfold
SRFI-60,arithmetic-shift,SRFI_002d60.html#index-arithmetic_002dshift
Compiled Procedures,arity:allow-other-keys?,Compiled-Procedures.html#index-arity_003aallow_002dother_002dkeys_003f
Compiled Procedures,arity:end,Compiled-Procedures.html#index-arity_003aend
Compiled Procedures,arity:kw,Compiled-Procedures.html#index-arity_003akw
Compiled Procedures,arity:nopt,Compiled-Procedures.html#index-arity_003anopt
Compiled Procedures,arity:nreq,Compiled-Procedures.html#index-arity_003anreq
Compiled Procedures,arity:rest?,Compiled-Procedures.html#index-arity_003arest_003f
Compiled Procedures,arity:start,Compiled-Procedures.html#index-arity_003astart
Array Procedures,array->list,Array-Procedures.html#index-array_002d_003elist
Shared Arrays,array-contents,Shared-Arrays.html#index-array_002dcontents
Array Procedures,array-copy!,Array-Procedures.html#index-array_002dcopy_0021
Array Procedures,array-copy-in-order!,Array-Procedures.html#index-array_002dcopy_002din_002dorder_0021
Array Procedures,array-dimensions,Array-Procedures.html#index-array_002ddimensions
Array Procedures,array-equal?,Array-Procedures.html#index-array_002dequal_003f
Array Procedures,array-fill!,Array-Procedures.html#index-array_002dfill_0021
Array Procedures,array-for-each,Array-Procedures.html#index-array_002dfor_002deach
Array Procedures,array-in-bounds?,Array-Procedures.html#index-array_002din_002dbounds_003f
Array Procedures,array-index-map!,Array-Procedures.html#index-array_002dindex_002dmap_0021
Array Procedures,array-length,Array-Procedures.html#index-array_002dlength
Array Procedures,array-map!,Array-Procedures.html#index-array_002dmap_0021
Array Procedures,array-map-in-order!,Array-Procedures.html#index-array_002dmap_002din_002dorder_0021
Array Procedures,array-rank,Array-Procedures.html#index-array_002drank
Array Procedures,array-ref,Array-Procedures.html#index-array_002dref
Array Procedures,array-set!,Array-Procedures.html#index-array_002dset_0021
Array Procedures,array-shape,Array-Procedures.html#index-array_002dshape
Array Procedures,array-type,Array-Procedures.html#index-array_002dtype
Array Procedures,array?,Array-Procedures.html#index-array_003f
Bitwise Operations,ash,Bitwise-Operations.html#index-ash
Inlined Mathematical Instructions,ash,Inlined-Mathematical-Instructions.html#index-ash-1
Scientific,asin,Scientific.html#index-asin
rnrs base,asin,rnrs-base.html#index-asin-1
Scientific,asinh,Scientific.html#index-asinh
rnrs base,assert,rnrs-base.html#index-assert
sxml ssax input-parse,assert-curr-char,sxml-ssax-input_002dparse.html#index-assert_002dcurr_002dchar
Function Prologue Instructions,assert-nargs-ee,Function-Prologue-Instructions.html#index-assert_002dnargs_002dee
Function Prologue Instructions,assert-nargs-ee/locals,Function-Prologue-Instructions.html#index-assert_002dnargs_002dee_002flocals
Function Prologue Instructions,assert-nargs-ge,Function-Prologue-Instructions.html#index-assert_002dnargs_002dge
Function Prologue Instructions,assert-nargs-ge/locals,Function-Prologue-Instructions.html#index-assert_002dnargs_002dge_002flocals
rnrs base,assertion-violation,rnrs-base.html#index-assertion_002dviolation
rnrs conditions,assertion-violation?,rnrs-conditions.html#index-assertion_002dviolation_003f
Retrieving Alist Entries,assoc,Retrieving-Alist-Entries.html#index-assoc
SRFI-1 Association Lists,assoc,SRFI_002d1-Association-Lists.html#index-assoc-1
rnrs lists,assoc,rnrs-lists.html#index-assoc-2
Retrieving Alist Entries,assoc-ref,Retrieving-Alist-Entries.html#index-assoc_002dref
Removing Alist Entries,assoc-remove!,Removing-Alist-Entries.html#index-assoc_002dremove_0021
Adding or Setting Alist Entries,assoc-set!,Adding-or-Setting-Alist-Entries.html#index-assoc_002dset_0021
rnrs lists,assp,rnrs-lists.html#index-assp
Retrieving Alist Entries,assq,Retrieving-Alist-Entries.html#index-assq
rnrs lists,assq,rnrs-lists.html#index-assq-1
Retrieving Alist Entries,assq-ref,Retrieving-Alist-Entries.html#index-assq_002dref
Removing Alist Entries,assq-remove!,Removing-Alist-Entries.html#index-assq_002dremove_0021
Adding or Setting Alist Entries,assq-set!,Adding-or-Setting-Alist-Entries.html#index-assq_002dset_0021
Retrieving Alist Entries,assv,Retrieving-Alist-Entries.html#index-assv
rnrs lists,assv,rnrs-lists.html#index-assv-1
Retrieving Alist Entries,assv-ref,Retrieving-Alist-Entries.html#index-assv_002dref
Removing Alist Entries,assv-remove!,Removing-Alist-Entries.html#index-assv_002dremove_0021
Adding or Setting Alist Entries,assv-set!,Adding-or-Setting-Alist-Entries.html#index-assv_002dset_0021
User asyncs,async,User-asyncs.html#index-async
User asyncs,async-mark,User-asyncs.html#index-async_002dmark
Scientific,atan,Scientific.html#index-atan
Scientific,atan,Scientific.html#index-atan-1
rnrs base,atan,rnrs-base.html#index-atan-2
Scientific,atanh,Scientific.html#index-atanh
SSAX,attlist->alist,SSAX.html#index-attlist_002d_003ealist
SSAX,attlist-add,SSAX.html#index-attlist_002dadd
SSAX,attlist-fold,SSAX.html#index-attlist_002dfold
SSAX,attlist-null?,SSAX.html#index-attlist_002dnull_003f
SSAX,attlist-remove-top,SSAX.html#index-attlist_002dremove_002dtop
Debug Commands,backtrace,Debug-Commands.html#index-backtrace
Pre-Unwind Debugging,backtrace,Pre_002dUnwind-Debugging.html#index-backtrace-1
File System,basename,File-System.html#index-basename
begin,begin,begin.html#index-begin-1
rnrs base,begin,rnrs-base.html#index-begin-2
Threads,begin-thread,Threads.html#index-begin_002dthread
R6RS Port Manipulation,binary-port?,R6RS-Port-Manipulation.html#index-binary_002dport_003f
Network Sockets and Communication,bind,Network-Sockets-and-Communication.html#index-bind
Network Sockets and Communication,bind,Network-Sockets-and-Communication.html#index-bind-1
Network Sockets and Communication,bind,Network-Sockets-and-Communication.html#index-bind-2
Network Sockets and Communication,bind,Network-Sockets-and-Communication.html#index-bind-3
Function Prologue Instructions,bind-kwargs,Function-Prologue-Instructions.html#index-bind_002dkwargs
Function Prologue Instructions,bind-optionals,Function-Prologue-Instructions.html#index-bind_002doptionals
Function Prologue Instructions,bind-optionals/shuffle,Function-Prologue-Instructions.html#index-bind_002doptionals_002fshuffle
Function Prologue Instructions,bind-optionals/shuffle-or-br,Function-Prologue-Instructions.html#index-bind_002doptionals_002fshuffle_002dor_002dbr
Function Prologue Instructions,bind-rest,Function-Prologue-Instructions.html#index-bind_002drest
Gettext Support,bind-textdomain-codeset,Gettext-Support.html#index-bind_002dtextdomain_002dcodeset
Module Commands,binding,Module-Commands.html#index-binding
Compiled Procedures,binding:boxed?,Compiled-Procedures.html#index-binding_003aboxed_003f
Compiled Procedures,binding:end,Compiled-Procedures.html#index-binding_003aend
Compiled Procedures,binding:index,Compiled-Procedures.html#index-binding_003aindex
Compiled Procedures,binding:name,Compiled-Procedures.html#index-binding_003aname
Compiled Procedures,binding:start,Compiled-Procedures.html#index-binding_003astart
Gettext Support,bindtextdomain,Gettext-Support.html#index-bindtextdomain
Bit Vectors,bit-count,Bit-Vectors.html#index-bit_002dcount
SRFI-60,bit-count,SRFI_002d60.html#index-bit_002dcount-1
Bit Vectors,bit-count*,Bit-Vectors.html#index-bit_002dcount_002a
Bitwise Operations,bit-extract,Bitwise-Operations.html#index-bit_002dextract
SRFI-60,bit-field,SRFI_002d60.html#index-bit_002dfield
Bit Vectors,bit-invert!,Bit-Vectors.html#index-bit_002dinvert_0021
Bit Vectors,bit-position,Bit-Vectors.html#index-bit_002dposition
Bit Vectors,bit-set*!,Bit-Vectors.html#index-bit_002dset_002a_0021
SRFI-60,bit-set?,SRFI_002d60.html#index-bit_002dset_003f
Bit Vectors,bitvector,Bit-Vectors.html#index-bitvector
Bit Vectors,bitvector->list,Bit-Vectors.html#index-bitvector_002d_003elist
Bit Vectors,bitvector-fill!,Bit-Vectors.html#index-bitvector_002dfill_0021
Bit Vectors,bitvector-length,Bit-Vectors.html#index-bitvector_002dlength
Bit Vectors,bitvector-ref,Bit-Vectors.html#index-bitvector_002dref
Bit Vectors,bitvector-set!,Bit-Vectors.html#index-bitvector_002dset_0021
Bit Vectors,bitvector?,Bit-Vectors.html#index-bitvector_003f
SRFI-60,bitwise-and,SRFI_002d60.html#index-bitwise_002dand
rnrs arithmetic bitwise,bitwise-and,rnrs-arithmetic-bitwise.html#index-bitwise_002dand-1
rnrs arithmetic bitwise,bitwise-arithmetic-shift,rnrs-arithmetic-bitwise.html#index-bitwise_002darithmetic_002dshift
rnrs arithmetic bitwise,bitwise-arithmetic-shift-left,rnrs-arithmetic-bitwise.html#index-bitwise_002darithmetic_002dshift_002dleft
rnrs arithmetic bitwise,bitwise-arithmetic-shift-right,rnrs-arithmetic-bitwise.html#index-bitwise_002darithmetic_002dshift_002dright
rnrs arithmetic bitwise,bitwise-bit-count,rnrs-arithmetic-bitwise.html#index-bitwise_002dbit_002dcount
rnrs arithmetic bitwise,bitwise-bit-field,rnrs-arithmetic-bitwise.html#index-bitwise_002dbit_002dfield
rnrs arithmetic bitwise,bitwise-bit-set?,rnrs-arithmetic-bitwise.html#index-bitwise_002dbit_002dset_003f
rnrs arithmetic bitwise,bitwise-copy-bit,rnrs-arithmetic-bitwise.html#index-bitwise_002dcopy_002dbit
rnrs arithmetic bitwise,bitwise-copy-bit-field,rnrs-arithmetic-bitwise.html#index-bitwise_002dcopy_002dbit_002dfield
rnrs arithmetic bitwise,bitwise-first-bit-set,rnrs-arithmetic-bitwise.html#index-bitwise_002dfirst_002dbit_002dset
SRFI-60,bitwise-if,SRFI_002d60.html#index-bitwise_002dif
rnrs arithmetic bitwise,bitwise-if,rnrs-arithmetic-bitwise.html#index-bitwise_002dif-1
SRFI-60,bitwise-ior,SRFI_002d60.html#index-bitwise_002dior
rnrs arithmetic bitwise,bitwise-ior,rnrs-arithmetic-bitwise.html#index-bitwise_002dior-1
rnrs arithmetic bitwise,bitwise-length,rnrs-arithmetic-bitwise.html#index-bitwise_002dlength
SRFI-60,bitwise-merge,SRFI_002d60.html#index-bitwise_002dmerge
SRFI-60,bitwise-not,SRFI_002d60.html#index-bitwise_002dnot
rnrs arithmetic bitwise,bitwise-not,rnrs-arithmetic-bitwise.html#index-bitwise_002dnot-1
rnrs arithmetic bitwise,bitwise-reverse-bit-field,rnrs-arithmetic-bitwise.html#index-bitwise_002dreverse_002dbit_002dfield
rnrs arithmetic bitwise,bitwise-rotate-bit-field,rnrs-arithmetic-bitwise.html#index-bitwise_002drotate_002dbit_002dfield
SRFI-60,bitwise-xor,SRFI_002d60.html#index-bitwise_002dxor
rnrs arithmetic bitwise,bitwise-xor,rnrs-arithmetic-bitwise.html#index-bitwise_002dxor-1
Booleans,boolean?,Booleans.html#index-boolean_003f
rnrs base,boolean?,rnrs-base.html#index-boolean_003f-1
SRFI-60,booleans->integer,SRFI_002d60.html#index-booleans_002d_003einteger
Syntax Transformer Helpers,bound-identifier=?,Syntax-Transformer-Helpers.html#index-bound_002didentifier_003d_003f
rnrs syntax-case,bound-identifier=?,rnrs-syntax_002dcase.html#index-bound_002didentifier_003d_003f-1
SRFI-111,box,SRFI_002d111.html#index-box
Lexical Environment Instructions,box,Lexical-Environment-Instructions.html#index-box-1
SRFI-111,box?,SRFI_002d111.html#index-box_003f
Branch Instructions,br,Branch-Instructions.html#index-br
Branch Instructions,br-if,Branch-Instructions.html#index-br_002dif
Branch Instructions,br-if-eq,Branch-Instructions.html#index-br_002dif_002deq
Function Prologue Instructions,br-if-nargs-gt,Function-Prologue-Instructions.html#index-br_002dif_002dnargs_002dgt
Function Prologue Instructions,br-if-nargs-lt,Function-Prologue-Instructions.html#index-br_002dif_002dnargs_002dlt
Function Prologue Instructions,br-if-nargs-ne,Function-Prologue-Instructions.html#index-br_002dif_002dnargs_002dne
Branch Instructions,br-if-not,Branch-Instructions.html#index-br_002dif_002dnot
Branch Instructions,br-if-not-eq,Branch-Instructions.html#index-br_002dif_002dnot_002deq
Branch Instructions,br-if-not-null,Branch-Instructions.html#index-br_002dif_002dnot_002dnull
Branch Instructions,br-if-null,Branch-Instructions.html#index-br_002dif_002dnull
Debug Commands,break,Debug-Commands.html#index-break
while do,break,while-do.html#index-break-1
SRFI-1 Searching,break,SRFI_002d1-Searching.html#index-break-2
Miscellaneous Instructions,break,Miscellaneous-Instructions.html#index-break-3
SRFI-1 Searching,break!,SRFI_002d1-Searching.html#index-break_0021
Debug Commands,break-at-source,Debug-Commands.html#index-break_002dat_002dsource
Mutexes and Condition Variables,broadcast-condition-variable,Mutexes-and-Condition-Variables.html#index-broadcast_002dcondition_002dvariable
R6RS Buffer Modes,buffer-mode,R6RS-Buffer-Modes.html#index-buffer_002dmode
R6RS Buffer Modes,buffer-mode?,R6RS-Buffer-Modes.html#index-buffer_002dmode_003f
Requests,build-request,Requests.html#index-build_002drequest
Responses,build-response,Responses.html#index-build_002dresponse
URIs,build-uri,URIs.html#index-build_002duri
Inlined Bytevector Instructions,bv-f32-native-ref,Inlined-Bytevector-Instructions.html#index-bv_002df32_002dnative_002dref
Inlined Bytevector Instructions,bv-f32-native-set,Inlined-Bytevector-Instructions.html#index-bv_002df32_002dnative_002dset
Inlined Bytevector Instructions,bv-f32-ref,Inlined-Bytevector-Instructions.html#index-bv_002df32_002dref
Inlined Bytevector Instructions,bv-f32-set,Inlined-Bytevector-Instructions.html#index-bv_002df32_002dset
Inlined Bytevector Instructions,bv-f64-native-ref,Inlined-Bytevector-Instructions.html#index-bv_002df64_002dnative_002dref
Inlined Bytevector Instructions,bv-f64-native-set,Inlined-Bytevector-Instructions.html#index-bv_002df64_002dnative_002dset
Inlined Bytevector Instructions,bv-f64-ref,Inlined-Bytevector-Instructions.html#index-bv_002df64_002dref
Inlined Bytevector Instructions,bv-f64-set,Inlined-Bytevector-Instructions.html#index-bv_002df64_002dset
